use_count,fp_size,radius,accuracy
False,2048,2,0.5459636024265049
False,2048,3,0.5305646290247317
False,2048,5,0.5417638824078395
False,4096,2,0.5417638824078395
False,4096,3,0.5356976201586561
False,4096,5,0.5300979934671022
False,8192,2,0.54129724685021
False,8192,3,0.5506299580027998
False,8192,5,0.5333644423705086
True,2048,2,0.5548296780214652
True,2048,3,0.5478301446570228
True,2048,5,0.5487634157722818
True,4096,2,0.565095660289314
True,4096,3,0.5557629491367242
True,4096,5,0.5571628558096127
True,8192,2,0.5538964069062062
True,8192,3,0.5501633224451703
True,8192,5,0.5627624825011666
